id,wapuu.name,wapuu.repository,wapuu.url,wapuu.src,wapuu.mime_type,author.name,author.url,description
ragspuu-wapuu,Ragspuu,https://github.com/joesimpsonjr/wapuu,https://us.wordcamp.org/2020/wapuu-design-contest/,https://github.com/joesimpsonjr/wapuu/blob/main/ragspuu-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"Proposed Wapuu was discovered in St. Louis and helps celebrate the WordPress Community, Ragtime music created by Scott Joplin which began in this area and gave birth the Jazz."
speedy-wapuu,Speedy,https://github.com/joesimpsonjr/wapuu,https://santaclarita.wordcamp.org/2020/,https://github.com/joesimpsonjr/wapuu/blob/main/speedy-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"Celebrating WordPress Community and our local racing history at the Saugus Speedway in Santa Clarita, California."
tikipuu-wapuu,Tikipuu the Pirate,https://github.com/joesimpsonjr/wapuu,https://www.meetup.com/wordpresstreasurecoast/,https://github.com/joesimpsonjr/wapuu/blob/main/tikipuu-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"Wapuu was discovered for the new WordPress Treasure Coast Meetup (Stuart, Florida USA). Celebrating WordPress Community and a region of the sunshine state has a history of sunken ships, buried treasures of gold and silver, swashbuckling pirates, and exotic wildlife such as colorful toucans."
werniepanders,WerniePanders,https://github.com/pedro-mendonca/WerniePanders,https://twitter.com/pedro_gaspar/status/1353030144055762944,https://raw.githubusercontent.com/pedro-mendonca/WerniePanders/main/images/werniepanders.png,image/png,Pedro Mendonça,https://pedromendonca.pt,"Here is WerniePanders! The Bernie Sanders Wapuu everyone was missing in 2021! 🎉"
ippei-wapuu-2019,ippei Wapuu sukisuki,https://github.com/466548/wapuu-ippey_s,https://osaka.wordcamp.org/2019/,https://raw.githubusercontent.com/466548/wapuu-ippey_s/master/2x/wapuu-ippey_s_01.png,image/png,Taz,https://twitter.com/466548,Wapuu for WordCamp Osaka 2019 Character
japan-wapuu,WordCamp Japan 2021 / じゃぱんわぷー,https://github.com/WordCampJapan/wapuu,https://japan.wordcamp.org/2021/,https://raw.githubusercontent.com/WordCampJapan/wapuu/main/png/wapoo_wcj2021.png,image/png,虎野とも,https://twitter.com/torano_manji,WordCamp Japan 2021 Japan Wapuu
surferpuu-wapuu,Surferpuu,https://github.com/joesimpsonjr/wapuu,https://us.wordcamp.org/2022/,https://github.com/joesimpsonjr/wapuu/blob/main/surferpuu-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"Catching waves and endless sunny Southern California days inspired this WordCamp US 2022 (#wcus) Wapuu. Locals have seen Surferpuu in the Blue Hour just before sunrise off the coast of San Diego from Oceanside down to La Jolla. Celebrating wild animal parks, aquariums, beaches, and natural beauty this Wapuu helps welcome the WordPress Community to the West Coast for WCUS for the first time in 2022."
majorpuu-wapuu,Majorpuu,https://github.com/joesimpsonjr/wapuu,http://blackpress.wordcamp.com/,https://github.com/joesimpsonjr/wapuu/blob/main/majorpuu-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"In the tradition of America's Historically Black Colleges and Universities (HBCU) Battle of the Bands, this majestic, magically band-leading Wapuu has been spotted in the stands at football fields all around the southern states in the fall. Full of swag and high-stepping over the competition, Majorpuu, was created as part of the BlackPress initiative, a Community effort to increase awareness with WordPress among contributors of Black/African descent, offer a Meetup, Slack channel, and bring a WordCamp-style event to HBCUs in the coming months."
wca-wapuu-2023,Chao Phraya Boat Wapuu,https://github.com/ChiakiKouno/chaophrayaboat-wapuu,https://2023.asia.wordcamp.org/,https://raw.githubusercontent.com/ChiakiKouno/chaophrayaboat-wapuu/main/ChaoPhrayaBoatWapuu.png,Chiaki Kouno,https://twitter.com/chiaki_kouno,Wapuu for WordCamp Asia 2023,
georgipuu-wapuu,Georgipuu,https://github.com/joesimpsonjr/wapuu,https://us.wordcamp.org/2023/,https://github.com/joesimpsonjr/wapuu/blob/main/georgipuu-wapuu.png?raw=1,image/png,Joe A Simpson Jr,https://joesimpson.info,"Georgipuu, WordCamp US 2023 Wapuu, has been spotted riding the neon Ferris wheel late nights on the Potomac River in National Harbor, Maryland across from the nation’s capital. This mystical creature rocks revolution-era clothing complete with a coat and decorative epaulettes, waistcoat, breeches, ruffled lace shirt, a powdered wig under a tricorne hat, buckled loafers, and a magic battle sword."
